date|rate
Jun 2020|80.109919
Jul 2020|81.947334
Aug 2020|80.694199
Sep 2020|82.017146
Oct 2020|83.029486
Nov 2020|83.192805
Dec 2020|83.886072
Jan 2021|83.931425
Feb 2021|81.775572
Mar 2021|80.611256
Apr 2021|81.768753
May 2021|81.901651
Jun 2021|81.633033
Jul 2021|81.759564
Aug 2021|81.096164
Sep 2021|81.719944
Oct 2021|81.705484
Nov 2021|82.389897
Dec 2021|81.771741
Jan 2022|80.371287
Feb 2022|81.497333
Mar 2022|82.038946
Apr 2022|82.357044
May 2022|80.271696
Jun 2022|79.319908
Jul 2022|79.507741
Aug 2022|76.671528
Sep 2022|77.903661
Oct 2022|78.92843
Nov 2022|79.952027
Dec 2022|80.445453
Jan 2023|80.944913
Feb 2023|79.192719
Mar 2023|76.010758
Apr 2023|75.670518
May 2023|75.397509